Capability,Customer Problem,Persona,Code Evidence,Test Evidence,Runtime Evidence,Maturity,Dependency,Limitation,Market Value
"MCP risk scanner","Dangerous MCP tool permissions","Developer","lib/mcp-risk-scanner/, packages/guard-core/src/MCPPolicyAnalyzer.ts","tests/agent-firewall-mvp3.test.ts","Code exists","6 - Unit-tested with mocks","None","MCP ecosystem still nascent","Medium - emerging"
"Tool chain attack detection","Multi-step agent attacks","Developer","lib/tool-chain/","tests/tool-chain.test.ts","Code exists","6 - Unit-tested with mocks","None","","Medium - emerging"
"Agent transaction escrow","Human-in-the-loop for agent actions","Developer","lib/escrow/","tests/escrow.test.ts","API endpoint verified","6 - Unit-tested with mocks","None","UI for approvals?","Medium - enterprise need"
"Agent dry-run sandbox","Preview agent actions before execution","Developer","lib/dry-run/","tests/dry-run.test.ts","Code exists","6 - Unit-tested with mocks","None","","Medium - differentiating"
"Agent intent verification","Agent actions match user intent","Developer","lib/agent-intent/","tests/agent-intent.test.ts","Code exists","6 - Unit-tested with mocks","None","","Low - experimental"
"Agent passports","Cryptographic agent identity","Developer","lib/agent-passport/","tests/agent-passport.test.ts","Code exists","6 - Unit-tested with mocks","None","","Low - experimental"
"Identity fabric","Agent identity delegation and challenges","Developer","lib/identity-fabric/","tests/identity-fabric.test.ts (1046 lines)","Code exists","7 - Integration-tested","None","","Low - experimental"
"Chrome browser extension","Browser AI usage monitoring and DLP","CISO","apps/extension/src/background/service-worker.ts","tests/extension/*.test.ts","Code exists, NOT on Web Store","6 - Unit-tested with mocks","Requires self-hosted backend","NOT PUBLISHED - critical blocker","High - primary distribution channel"
"VS Code extension","IDE AI security for coding assistants","Developer","packages/vscode-extension/src/extension.ts (17 modules)","packages/vscode-extension/src/__tests__/","Code exists, NOT on Marketplace","6 - Unit-tested with mocks","May require Local AI Broker","NOT PUBLISHED - critical blocker","High - developer distribution"
"Cross-IDE extensions (6 more)","AI security across all IDEs","Developer","extensions/eclipse/, jetbrains/, jupyterlab/, neovim/, sublime/, vim/, visual-studio/","None (JetBrains CI: continue-on-error)","Not deployable","2 - Planned/documentation only","Platform-specific APIs","Stubs only - significant work needed","Low - premature"
"Policy engine","Per-project security policy","Developer/CISO","lib/guard/policy.ts (482 lines)","tests/guard.test.ts (policy application)","API endpoint verified","8 - Runtime-verified","PostgreSQL via Prisma","","High - core requirement"
"Usage governance","Company-wide AI usage policy","CISO","lib/usage-governance/index.ts","tests/guard/governance-enforcement.test.ts","API endpoint verified","7 - Integration-tested","PostgreSQL","UI incomplete","High - enterprise need"
"RAG document scanning","Indirect prompt injection through documents","Developer","lib/rag/","tests/rag-rescan.test.ts","API endpoint verified","6 - Unit-tested with mocks","Qdrant vector DB","","Medium - growing need"
"OWASP LLM mapping","Compliance mapping to OWASP standards","Compliance","lib/compliance/","tests/compliance-assurance.test.ts","API route exists","6 - Unit-tested with mocks","None","","Medium - trust signal"
"Evidence vault","SOC2/ISO evidence collection","Compliance","lib/evidence-vault/","tests/evidence-vault.test.ts","Code exists","6 - Unit-tested with mocks","None","Not tied to real audit process","Medium - enterprise trust"
"Webhook system","Event-driven integration","Developer","lib/webhooks/","tests/webhooks.test.ts (part of 679 suite)","Worker + API","8 - Runtime-verified","PostgreSQL","","Medium - integration enabler"
"SIEM integration","Security event export to SIEM","SOC","lib/siem/exporters, workers/siemWorker.ts","tests/causal-siem.test.ts","Code exists","6 - Unit-tested with mocks","SIEM platform","No real SIEM tested","Medium - enterprise requirement"
"Shadow AI scanner","Detect unmanaged AI tool usage","CISO","lib/shadow-ai/","Code exists, untested","Code exists","4 - Partially implemented","Requires extension","Not usable without deployed extension","Medium - CISO priority"
"Red team lab","Penetration testing for LLM apps","Developer","lib/redteam/","tests/redteam-*.test.ts","Demo route exists","5 - Implemented but untested","None","Basic scenario coverage","Medium - developer tool"
"SLM evaluation","AI-as-judge for output quality","Developer","lib/evaluation/","tests/slm-evaluation.test.ts","Code exists","5 - Implemented but untested","LLM endpoint","","Low - experimental"
"Cost firewall","AI cost budget management","Finance","lib/cost-firewall/","Code exists, untested","Code exists","4 - Partially implemented","None","","Low - premature"
"Canary tokens","Detect prompt injection via decoy data","Developer","lib/canary/","tests/canary-network-feature7.test.ts","API endpoint verified","6 - Unit-tested with mocks","None","","Low - niche"
"n8n integration","No-code workflow security","Developer","packages/n8n-nodes-soterai/","npm published (v0.2.7)","Published to npm","7 - Integration-tested","n8n platform","","Medium - distribution channel"
"Razorpay billing","Subscription management","Business","lib/billing/razorpay.ts","tests/billing.test.ts","Code exists","7 - Integration-tested","Razorpay account","Sandbox mode untested end-to-end","Critical - revenue enabler"
"Feature flags (open-core)","Plan-based feature gating","Business","lib/featureFlags.ts","Static config","Runtime verified","8 - Runtime-verified","None","","Critical - business model"
"SAML/SSO","Enterprise single sign-on","Enterprise","lib/enterprise/sso, app/api/sso/*/route.ts","Code exists","Code exists","4 - Partially implemented","Identity provider","Never tested with real IdP","High - enterprise procurement blocker"
"SCIM provisioning","Enterprise user management","Enterprise","lib/enterprise/scim, app/api/scim/v2/route.ts","Code exists","Code exists","4 - Partially implemented","Identity provider","Never tested","High - enterprise procurement blocker"
"Data retention","Policy-based data lifecycle","Compliance","lib/retention/","tests/retention.test.ts","Code exists","5 - Implemented but untested","None","","Medium - compliance"
"Docker deployment","Container-based self-hosting","DevOps","Dockerfile, Dockerfile.worker, docker-compose.yml","CI builds image","EC2 deploy script in CI","8 - Runtime-verified","Docker","Complex multi-service setup","Critical - distribution"
"Helm/K8s deployment","Kubernetes deployment","DevOps","helm/cyberrakshak/","Not tested in CI","Code exists","4 - Partially implemented","K8s cluster","Untested","Medium - enterprise"
"Multi-region deployment","Data residency","Enterprise","NOT IMPLEMENTED","N/A","N/A","1 - Not present","Infrastructure","Entirely missing","Low (for now) - procurement blocker"
