Keyword,Intent,Funnel Stage,Target Persona,Recommended Page,Page Exists,Priority,Conversion Goal,Cluster,Difficulty,Cannibalisation Risk,Verified Volume,Notes
AI memory inspector,Commercial,Awareness,AI Developer,/ai-memory-inspector,YES,P2,Extension Install,C,Low,None,Unknown — GSC required,Niche; feature page exists
what AI saw audit log,Commercial,Awareness,Developer,/ai-memory-inspector,YES,P2,Extension Install,C,Low,None,Unknown — GSC required,Very niche
protected secret vault,Commercial,Awareness,Developer,/ai-data-leakage-prevention,YES,P2,Extension Install,D,Low,None,Unknown — GSC required,Secondary keyword
terminal command firewall,Commercial,Awareness,Developer,/vscode-ai-security,YES,P2,Extension Install,E,Low,None,Unknown — GSC required,Niche
SoterAI vs Lakera,Navigational,Consideration,Security Engineer,/comparison/lakera,YES,P1,Signup,A,Medium,/comparison (low),Unknown — GSC required,Page exists
SoterAI vs HiddenLayer,Navigational,Consideration,Security Engineer,/comparison/hiddenlayer,YES,P1,Signup,A,Low,/comparison (low),Unknown — GSC required,Page exists
SoterAI vs Prompt Security,Navigational,Consideration,Security Engineer,/comparison/prompt-security,YES,P1,Signup,A,Low,/comparison (low),Unknown — GSC required,Page exists
best AI security platform 2026,Comparison,Consideration,Security Engineer,/comparison,YES,P1,Signup,A,Very High,None,Unknown — GSC required,/comparison page exists; needs citation by others
best prompt injection protection tools,Comparison,Consideration,Security Engineer,/comparison,YES,P2,Signup,B,High,None,Unknown — GSC required,Needs third-party coverage
Lakera alternatives,Comparison,Consideration,Security Engineer,/comparison,YES,P2,Signup,A,Medium,None,Unknown — GSC required,Add section to /comparison
what is prompt injection,Educational,Awareness,Developer,/blog/what-is-prompt-injection-types-examples-prevention,YES,P0,Signup,B,Medium,None,Unknown — GSC required,Blog post exists — strong content
what is MCP security,Educational,Awareness,Developer,/blog/mcp-security-for-developers,YES,P0,Extension Install,C,Low,None,Unknown — GSC required,Blog post exists
AI agent security risks,Educational,Awareness,Developer,/blog/ai-agent-security-risks-threats-protection,YES,P0,Signup,C,Low,None,Unknown — GSC required,Blog post exists
LLM guardrails explained,Educational,Awareness,Developer,/blog/llm-guardrails-explained-developer-guide,YES,P0,Signup,A,Medium,None,Unknown — GSC required,Blog post exists
how AI coding tools leak secrets,Educational,Awareness,Developer,/blog/how-ai-coding-tools-leak-secrets,YES,P1,Extension Install,E,Low,None,Unknown — GSC required,Blog post exists
Aadhaar PAN GSTIN detection,Educational,Awareness,Security Engineer,/blog/pii-detection-indian-businesses-aadhaar-pan-gstin-compliance,YES,P1,Signup,H,Low,None,Unknown — GSC required,Blog post exists
OWASP LLM Top 10,Educational,Awareness,Security Engineer,/compliance/owasp-llm-top-10,YES,P1,Signup,F,Medium,None,Unknown — GSC required,Compliance page exists
AI security benchmark,Educational,Awareness,Security Engineer,/benchmark,YES,P1,Demo Request,B,Medium,/benchmarks (high — check duplicate),Unknown — GSC required,Page exists; check /benchmarks duplicate
prompt injection benchmark,Educational,Awareness,Security Engineer,/benchmark,YES,P1,Demo Request,B,Low,None,Unknown — GSC required,Secondary keyword for /benchmark
model supply chain security,Commercial,Awareness,Security Engineer,/model-supply-chain-security,YES,P2,Signup,I,Medium,None,Unknown — GSC required,Page exists; needs sitemap entry
AI safe mode,Commercial,Awareness,Developer,/ai-safe-mode,YES,P3,Extension Install,E,Low,None,Unknown — GSC required,Niche; page exists; needs sitemap
AI security chatbot,Commercial,Awareness,Developer,/llm-security,YES,P2,Signup,A,High,None,Unknown — GSC required,Secondary keyword for LLM security
