id,segment,organization,contact_role,why_fit,product_hook,channel,contact_detail,url,template,priority,verify,status
L11,LLM Gateways & Dev Tools,Portkey.ai,Founder (Rohit Agarwal) / DevRel,"Indian LLM gateway — closest neighbor. Their guardrails are English-generic; you bring Hinglish + India PII. Partner > compete.","Co-integration: SoterAI as India-compliance guardrail pack; co-written blog","Email + LinkedIn","hello@portkey.ai (verify); LinkedIn Rohit Agarwal","https://portkey.ai",T2,P1,verify before send,not_sent
L12,LLM Gateways & Dev Tools,LiteLLM / Berri AI,Co-founders (Ishaan/Krrish) via X,"Most-used LLM proxy; has guardrails hooks — SoterAI can be a listed guardrail provider.","Listed callback provider in LiteLLM guardrails docs","X DM + GitHub","github.com/BerriAI/litellm discussions; X @berriai","https://www.litellm.ai",T2,P1,verify before send,not_sent
L13,LLM Gateways & Dev Tools,Helicone,Co-founders via LinkedIn/X,"LLM observability — sees the attacks but doesn't block. Complementary stack.","See-and-stop bundle: they observe, SoterAI blocks; integration + joint post","Email + X","hello@helicone.ai (verify)","https://www.helicone.ai",T2,P1,verify before send,not_sent
L14,LLM Gateways & Dev Tools,LangChain,Ecosystem / Integrations team,"LangChain integrations page = permanent high-intent traffic. Get listed as a guardrail integration.","Community integration package + docs page","GitHub PR to integrations + form","python.langchain.com integrations process","https://www.langchain.com",T2,P1,verify before send,not_sent
L15,LLM Gateways & Dev Tools,LlamaIndex,Ecosystem team,"Same play as LangChain — listed integration.","Callback/guardrail integration listing","GitHub + Discord","discord.gg/llamaindex","https://www.llamaindex.ai",T2,P2,verify before send,not_sent
L16,LLM Gateways & Dev Tools,Hugging Face,Community / Hub team,"Host demo Space + model card → credibility + search traffic.","Public guard demo Space (try-the-attacker playground)","Spaces + email","huggingface.co Spaces (self-serve) + website contact","https://huggingface.co",T2,P2,self-serve listing,not_sent
L17,LLM Gateways & Dev Tools,OpenRouter,Team via Discord/X,"Routes huge LLM traffic; guardrail partner story fits.","Provider-agnostic guard for routed calls","Discord/X","discord.gg/openrouter","https://openrouter.ai",T2,P3,verify before send,not_sent
L18,LLM Gateways & Dev Tools,Ollama,Community via Discord,"Local-first LLM users = privacy maximalists = your exact voice.","Local guard for local models; zero-cloud pitch","Discord + GitHub","discord.gg/ollama","https://ollama.com",T2,P3,verify before send,not_sent
L19,LLM Gateways & Dev Tools,Comet Opik,DevRel,"Opik has guardrails module — get listed as provider.","Guardrail provider integration","GitHub + docs form","comet.com/docs/opik guardrails","https://www.comet.com",T2,P3,verify before send,not_sent
L20,AI Coding Tools & IDEs,Cursor (Anysphere),Enterprise/BD via forum,"Cursor users paste secrets into prompts daily. MCP gateway + VS Code extension story.","MCP security gateway for agent tools; secret redaction pre-send","Forum + LinkedIn BD","forum.cursor.com + LinkedIn Anysphere team","https://www.cursor.com",T3,P1,find on LinkedIn,not_sent
L21,AI Coding Tools & IDEs,Continue.dev,Founder (Ty Dunn) / Hub team,"Continue Hub lists MCP servers/rules — list SoterAI MCP gateway.","Hub listing + guard rules pack","GitHub + Discord","discord.gg/continue; hub.continue.dev submit","https://www.continue.dev",T3,P1,verify before send,not_sent
L22,AI Coding Tools & IDEs,Cline,Maintainers via GitHub/Discord,"Cline maintains MCP marketplace list — free listing = constant dev traffic.","MCP marketplace PR + security server listing","GitHub PR","github.com/cline/cline (mcp marketplace)","https://cline.bot",T3,P2,verify before send,not_sent
L23,AI Coding Tools & IDEs,Windsurf,BD/Partnerships,"Same pitch as Cursor; they're courting enterprise = need security ecosystem.","Extension + MCP guard bundle","Partners form","windsurf.com contact","https://windsurf.com",T3,P2,verify before send,not_sent
L24,AI Coding Tools & IDEs,Sourcegraph,DevRel,"Cody context windows pull repos into prompts — DLP angle resonates.","Pre-send secret/PII redaction layer","DevRel email","about.sourcegraph.com/contact","https://sourcegraph.com",T3,P3,verify before send,not_sent
L25,AI Coding Tools & IDEs,Aider,Maintainer (Paul Gauthier) via GitHub,"Power-user CLI audience; compatible open-source ethos.","Guard hook for aider prompt traffic","GitHub discussions","github.com/Aider-AI/aider discussions","https://aider.chat",T3,P3,verify before send,not_sent
L26,AI Coding Tools & IDEs,Qodo (ex-CodiumAI),Partnerships,"Quality+security adjacent; partnership for agent guardrails.","Agent action control alongside code integrity","Contact form","qodo.ai/contact","https://www.qodo.ai",T3,P3,verify before send,not_sent
L27,Chatbot & AI SaaS Builders,Botpress,Partnerships / Marketplace team,"40k+ builders ship bots that get jailbroken; Botpress has integrations hub.","Listed guardrail integration + 'unjailbreakable bot' co-content","Marketplace + partnerships form","botpress.com partners","https://botpress.com",T4,P1,verify before send,not_sent
L28,Chatbot & AI SaaS Builders,Voiceflow,Partnerships / Community,"Huge no-code builder base; security add-on = upsell for them.","Guard step + template in their marketplace","Community + partner form","voiceflow.com contact; community forum","https://www.voiceflow.com",T4,P1,verify before send,not_sent
L29,Chatbot & AI SaaS Builders,Chatbase,Founder (Yasser Elsaid) via X/LinkedIn,"Indie-built, moves fast, ships features users request. Guardrail = paid add-on for him.","API guard his users can enable in 2 minutes","X DM","X: @yasser_elsaid (verify handle)","https://www.chatbase.co",T4,P1,find on X,not_sent
L30,Chatbot & AI SaaS Builders,Chatwoot,Co-founders (Indian-origin, OSS-friendly),"Open-source support suite adding AI agents — guardrails fit their open ethos.","OSS self-hosted guard for their AI agents","GitHub + email","github.com/chatwoot/chatwoot; hello form","https://www.chatwoot.com",T4,P2,verify before send,not_sent
L31,Chatbot & AI SaaS Builders,CustomGPT,Founder/BD via LinkedIn,"Sells 'no hallucination' — safety stack extension.","Injection + leak guard as add-on","LinkedIn","customgpt.ai contact","https://customgpt.ai",T4,P2,find on LinkedIn,not_sent
L32,Chatbot & AI SaaS Builders,SiteGPT,Founder via X,"Indie maker, responsive, feature-differentiation buyer.","2-minute guard integration","X DM","sitegpt.ai founder on X","https://sitegpt.ai",T4,P3,find on X,not_sent
L33,Chatbot & AI SaaS Builders,Crisp,BD via contact,"EU SMB support platform adding AI — EU AI Act angle.","Compliance-ready guard layer","Contact form","crisp.chat contact","https://crisp.chat",T4,P3,verify before send,not_sent
L34,Chatbot & AI SaaS Builders,Intercom (Fin team),BD (long shot but high value),"Fin answers from docs — injection via docs is a known scary vector.","RAG-poisoning + injection guard for knowledge bots","LinkedIn BD","intercom.com contact","https://www.intercom.com",T4,P3,find on LinkedIn,not_sent
L35,Indian AI Companies,Sarvam AI,Co-founders (Vivek/Pratyush) via LinkedIn,"Indic-first LLM co — Hinglish-detection wedge speaks their language literally.","Hinglish/Indic jailbreak detection + India PII pack as their guard layer","LinkedIn + hello form","sarvam.ai contact; LinkedIn founders","https://www.sarvam.ai",T5,P1,find on LinkedIn,not_sent
L36,Indian AI Companies,Krutrim (Ola),Applied AI team via LinkedIn,"Ships Indic chatbot to millions — needs Indic red-teaming story.","79-language guard incl. Hinglish; Aadhaar/PAN DLP","LinkedIn + careers/BD","krutrim.com contact","https://www.olakrutrim.com",T5,P1,find on LinkedIn,not_sent
L37,Indian AI Companies,Yellow.ai,Product/AI leadership via LinkedIn,"Enterprise chatbot co with BFSI clients — DPDP + injection pain is daily.","Compliance guard layer they can upsell to BFSI","LinkedIn","yellow.ai contact","https://yellow.ai",T5,P1,find on LinkedIn,not_sent
L38,Indian AI Companies,Gupshup,Product team via LinkedIn,"Bot studio at massive scale; guard differentiation for enterprise deals.","Agent + injection guard for bot studio","LinkedIn","gupshup.io contact","https://www.gupshup.io",T5,P2,find on LinkedIn,not_sent
L39,Indian AI Companies,Haptik (Jio),AI product team via LinkedIn,"Jio-scale bots; Reliance compliance culture fits audit-trail pitch.","Audit-ledger + DPDP-ready guard","LinkedIn","haptik.ai contact","https://www.haptik.ai",T5,P2,find on LinkedIn,not_sent
L40,Indian AI Companies,Verloop.io,Product team via LinkedIn,"Support automation for Indian enterprises.","India-PII guard for support bots","LinkedIn","verloop.io contact","https://verloop.io",T5,P2,find on LinkedIn,not_sent
L41,Indian AI Companies,CoRover,Founder (Ankush Sabharwal) via LinkedIn,"BharatGPT Indic focus — Hinglish angle is home turf.","Indic guard layer partnership","LinkedIn","corover.ai contact","https://corover.ai",T5,P2,find on LinkedIn,not_sent
L42,Indian AI Companies,Observe.AI,Product/BD via LinkedIn,"Contact-center AI; compliance-first buyers.","PII redaction pre-LLM + audit trail","LinkedIn","observe.ai contact","https://www.observe.ai",T5,P3,find on LinkedIn,not_sent
L43,DPDP-Pressured Indian Enterprises,Razorpay,Head of InfoSec / Eng leadership via LinkedIn,"Fintech + Indian engineers using ChatGPT = Aadhaar/PAN leak risk. DPDP ₹250cr deadline May 2027.","Employee-AI DLP: Aadhaar/PAN/GSTIN/UPI detection + audit trail for DPDP","LinkedIn DM to eng leaders","razorpay.com security; LinkedIn eng leaders","https://razorpay.com",T6,P1,find on LinkedIn,not_sent
L44,DPDP-Pressured Indian Enterprises,Tata 1mg,Eng/security leadership via LinkedIn,"Health data = highest DPDP sensitivity; staff AI usage unmonitored.","Health-data DLP for staff AI tools + audit trail","LinkedIn DM","tata1mg.com; LinkedIn eng leaders","https://www.tata1mg.com",T6,P1,find on LinkedIn,not_sent
L45,DPDP-Pressured Indian Enterprises,Zerodha,CTO (Kailash Nadh) via X — tech-forward,OSS-friendly CTO; Zerodha builds in-house and respects OSS.","OSS self-hosted employee AI guard","X DM","X @nadh (public tech presence)","https://zerodha.com",T6,P2,find on X,not_sent
L46,DPDP-Pressured Indian Enterprises,CRED,Product/eng leaders via LinkedIn,"Fintech with design-led eng culture; early-adopter reputation.","Employee AI DLP + agent payment guard","LinkedIn","cred.club; LinkedIn eng leaders","https://cred.club",T6,P2,find on LinkedIn,not_sent
L47,DPDP-Pressured Indian Enterprises,Jupiter Money,Eng leadership via LinkedIn,"Neo-bank: fintech compliance + young eng team using AI heavily.","Bank-grade staff AI usage guard","LinkedIn","jupiter.money; LinkedIn eng leaders","https://jupiter.money",T6,P2,find on LinkedIn,not_sent
L48,DPDP-Pressured Indian Enterprises,Practo,Eng leadership via LinkedIn,"Health records + AI features pipeline.","Patient-data DLP for AI workflows","LinkedIn","practo.com; LinkedIn eng leaders","https://www.practo.com",T6,P2,find on LinkedIn,not_sent
L49,DPDP-Pressured Indian Enterprises,PhysicsWallah,AI team via LinkedIn,"Building AI tutors at India scale — Indic students + injection risk.","Indic-language guard for edtech chatbots","LinkedIn","pw.live; LinkedIn AI team","https://www.pw.live",T6,P3,find on LinkedIn,not_sent
L50,DPDP-Pressured Indian Enterprises,upGrad,Eng leadership via LinkedIn,"Edtech with enterprise clients; DPDP readiness sells internally.","Compliance-ready AI usage layer","LinkedIn","upgrad.com; LinkedIn eng leaders","https://www.upgrad.com",T6,P3,find on LinkedIn,not_sent
L51,Newsletters & Media,TLDR AI,Editorial/Advertising (advertise@tldr.tech),"1M+ dev readers; AI-security stories perform. Free editorial pitch first, paid later.","Story: only guard that detects attacks in 79 languages incl. Hinglish + public reproducible benchmark","Email","advertise@tldr.tech (publicly listed; editorial pitch via site)","https://tldr.tech/ai",T7,P1,verify before send,not_sent
L52,Newsletters & Media,The Rundown AI (Rowan Cheung),Editorial team,"2M+ readers; covers new AI tools daily.","Tool feature: free Chrome ext that blocks PII→ChatGPT leaks","Email via site form","therundown.ai contact/submissions","https://www.therundown.ai",T7,P1,verify before send,not_sent
L53,Newsletters & Media,Analytics India Magazine (AIM),Editorial desk,"India's #1 AI media — Hinglish-detection story is made for them.","Exclusive: 191 vendors, zero do Hinglish detection; India 100M weekly ChatGPT users","Editorial email","info@analyticsindiamag.com (verify)","https://analyticsindiamag.com",T7,P1,verify before send,not_sent
L54,Newsletters & Media,Ben's Bites (Ben Tossell),Founder/editor,"Maker-friendly; loves OSS tool stories with demos.","Attack-demo GIFs + benchmark receipts","Email","ben@bensbites.com (verify)","https://bensbites.com",T7,P2,verify before send,not_sent
L55,Newsletters & Media,The Neuron,Editorial via submit form,"500k+ readers; tool spotlight sections.","Free local extension angle","Submit form","theneurondaily.com submit","https://www.theneurondaily.com",T7,P2,verify before send,not_sent
L56,Newsletters & Media,AI Supremacy (Michael Spencer),Author (Substack direct),"Deep-dive format fits benchmark-receipts story.","Guest post: reproducible AI-security benchmarking","Substack DM/email","michaelspencer.substack.com DM","https://www.ai-supremacy.com",T7,P3,verify before send,not_sent
L57,Newsletters & Media,Last Week in AI,Editorial team,"Research-leaning digest; multilingual safety angle.","79-language eval JSON as story hook","Email","contact via lastweekin.ai","https://lastweekin.ai",T7,P3,verify before send,not_sent
L58,Newsletters & Media,Inc42,Editorial desk,"India startup media; DPDP-deadline angle newsy.","DPDP May 2027: Indian cos' AI usage is unguarded","Editorial email","editorial via inc42.com contact","https://inc42.com",T7,P2,verify before send,not_sent
L59,Newsletters & Media,YourStory,Editorial desk,"Founder-story format.","Indie founder building India's AI guard layer","Submit story form","yourstory.com submit","https://yourstory.com",T7,P2,verify before send,not_sent
L60,Communities & Security Ecosystem,OWASP GenAI Security Project,Project leads via GitHub/Slack,"Getting listed in OWASP GenAI resources = permanently borrow their authority.","Tool listing + contribution to LLM Top 10 mitigations","GitHub + OWASP Slack","github.com/OWASP/www-project-top-10-for-large-language-model-applications","https://genai.owasp.org",T8,P1,verify before send,not_sent
L61,Communities & Security Ecosystem,Null / Nullcon (India security community),Organizers via site/Discord,"India's biggest hacker community — workshop = hundreds of security-first devs.","Free workshop: jailbreak-live + defense; CTF-style challenge","Site contact + Discord","null.community / nullcon.net contact","https://null.community",T8,P1,verify before send,not_sent
L62,Communities & Security Ecosystem,SaaSBoomi,Community team,"India's top SaaS founder community — direct line to hundreds of DPDP-pressured founders.","DPDP AI-readiness checklist + member demo","Community form/LinkedIn","saasboomi.org contact","https://saasboomi.org",T8,P1,verify before send,not_sent
L63,Communities & Security Ecosystem,DSCI (Data Security Council of India),Engagement team,"NASSCOM body steering DPDP practice — credibility partner.","DPDP AI-usage readiness contribution","Contact form","dsci.in contact","https://www.dsci.in",T8,P2,verify before send,not_sent
L64,Communities & Security Ecosystem,OWASP Bangalore Chapter,Chapter leads via OWASP site/Meetup,"Local chapter talks = warm dev audience.","Chapter talk: prompt injection anatomy + live break","Meetup/OWASP chapter page","owasp.org/www-chapter-bangalore","https://owasp.org/www-chapter-bangalore",T8,P2,verify before send,not_sent
L65,Communities & Security Ecosystem,GDG Bangalore / GDG Cloud,Organizers via Meetup/LinkedIn,"Google dev group talks = 100-300 devs/session.","Free AI-security session offer","Meetup organiser DM","meetup.com/gdg-bangalore","https://gdg.community.dev",T8,P3,verify before send,not_sent
L66,Communities & Security Ecosystem,ISACA Bangalore Chapter,Programs team,"CISO/auditor audience — enterprise door-opener.","DPDP + AI act readiness talk","Chapter contact","isaca.org/bangalore","https://engage.isaca.org/bangalorechapter/home",T8,P3,verify before send,not_sent
L67,Directories & Listings,There's An AI For That,Submission form (self-serve),"Top-3 AI directory; free listing = evergreen signups.","Listing: 'AI security guard / prompt injection blocker'","Submit form","theresanaiforthat.com/submit","https://theresanaiforthat.com",T9,P1,self-serve listing,not_sent
L68,Directories & Listings,Futurepedia,Submission form (self-serve),"Highest-traffic AI tools directory.","Free tool listing + badges","Submit form","futurepedia.io/submit-tool","https://www.futurepedia.io",T9,P1,self-serve listing,not_sent
L69,Directories & Listings,FutureTools (Matt Wolfe),Submission form (self-serve),"Curated by major AI YouTuber.","Listing + demo video link","Submit form","futuretools.io submit","https://www.futuretools.io",T9,P2,self-serve listing,not_sent
L70,Directories & Listings,SaaSHub,Submit form (self-serve),"Software alternative site — 'alternatives to Lakera' angle captures competitor traffic.","Listing + competitor comparison pages","Submit form","saashub.com submit","https://www.saashub.com",T9,P2,self-serve listing,not_sent
L71,Directories & Listings,AlternativeTo,Submit form (self-serve),"Alternative pages rank on Google for 'X alternatives'.","List under Lakera/Protect AI alternatives","Submit form","alternativeto.net add app","https://alternativeto.net",T9,P2,self-serve listing,not_sent
L72,Directories & Listings,Insidr.ai,Submit form (self-serve),"Fast-growing AI tools directory.","Free listing","Submit form","insidr.ai submit","https://www.insidr.ai",T9,P2,self-serve listing,not_sent
L73,Directories & Listings,BetaList,Submit form (self-serve/paid boost),"Pre-launch/launch exposure to early adopters.","Launch listing","Submit form","betalist.com submit","https://betalist.com",T9,P2,self-serve listing,not_sent
L74,Directories & Listings,Toolify.ai,Submit form (self-serve),"High SEO traffic directory.","Free listing","Submit form","toolify.ai submit","https://www.toolify.ai",T9,P3,self-serve listing,not_sent
L75,Directories & Listings,OpenVSX Registry,Self-serve publish,"VS Code alternative registry — Cursor/Windsurf users discover extensions here.","Publish extension to OpenVSX","Self-serve publish","open-vsx.org","https://open-vsx.org",T9,P2,self-serve listing,not_sent
L76,Directories & Listings,Awesome-LLM-Security GitHub lists,List maintainers via PR,"Awesome lists = permanent dev traffic.","PRs to awesome-llm-security, awesome-prompt-injection lists","GitHub PR","github.com search 'awesome llm security' → PR","https://github.com",T9,P1,self-serve listing,not_sent
